City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
309,Ahipara,NZ,-35.1667,173.1667,61.66,84,97,10.74,overcast clouds
310,Barcelos,PT,41.5388,-8.6151,60.85,85,82,2.91,broken clouds
311,Turkmenabat,TM,39.0733,63.5786,75.97,29,0,7.63,clear sky
312,Hami,CN,42.8,93.45,64.65,35,20,17.9,few clouds
313,Ilhabela,BR,-23.7781,-45.3581,76.19,78,43,5.5,scattered clouds
314,Mahon,ES,39.8885,4.2658,61.36,59,0,5.75,clear sky
315,Biak,ID,-0.9131,122.8766,77.05,83,64,1.16,broken clouds
316,Goderich,CA,43.7501,-81.7165,59.83,79,65,19.22,broken clouds
317,Taltal,CL,-25.4,-70.4833,65.43,74,26,3.36,scattered clouds
318,Gawler,AU,-34.6,138.7333,67.21,59,100,9.8,overcast clouds
319,Coutances,FR,49.05,-1.4333,49.75,84,60,8.9,broken clouds
320,Moctezuma,MX,29.8,-109.6667,82.15,14,0,8.43,clear sky
321,Fairbanks,US,64.8378,-147.7164,43.14,52,0,3.44,clear sky
322,Inirida,CO,3.8653,-67.9239,79.7,91,100,2.46,overcast clouds
323,Souillac,MU,-20.5167,57.5167,75.52,71,100,17.6,overcast clouds
324,Isabela,PH,6.7085,121.9711,79.65,84,91,1.43,overcast clouds
325,Tevaitoa,PF,-16.7833,-151.5,81.01,72,83,7.31,broken clouds
326,Caravelas,BR,-17.7125,-39.2481,83.84,70,5,8.63,clear sky
327,Bombay,IN,19.0144,72.8479,85.98,70,8,0.0,haze
328,Onda,ES,39.9667,-0.25,70.65,61,14,5.35,few clouds
329,Shahrud,IR,36.4182,54.9763,69.06,35,82,5.55,broken clouds
330,Novopokrovka,UA,49.8425,36.5477,51.03,90,9,5.32,clear sky
331,Kloulklubed,PW,7.0419,134.2556,81.34,79,88,15.82,overcast clouds
332,Birao,CF,10.2849,22.7882,88.07,38,99,4.68,overcast clouds
333,Batagay-Alyta,RU,67.8006,130.4114,1.72,97,100,4.81,overcast clouds
334,Esperance,AU,-33.8667,121.9,57.88,89,0,10.76,clear sky
335,Hofn,IS,64.2539,-15.2082,43.5,89,100,3.18,overcast clouds
336,Mackay,AU,-21.15,149.2,72.68,84,100,23.82,overcast clouds
337,Berlevag,NO,70.8578,29.0864,35.4,84,100,9.1,overcast clouds
338,Viedma,AR,-40.8135,-62.9967,71.33,36,100,23.87,overcast clouds
339,Hasaki,JP,35.7333,140.8333,55.8,90,6,3.83,clear sky
340,Coos Bay,US,43.3665,-124.2179,61.32,86,0,8.05,clear sky
341,Monte Escobedo,MX,22.3,-103.5833,79.48,11,0,9.55,clear sky
342,Biltine,TD,14.5333,20.9167,92.55,10,10,6.15,clear sky
343,Perene,PE,-10.9492,-75.2261,90.12,45,18,5.39,few clouds
344,Qui Nhon,VN,13.7667,109.2333,78.4,91,94,6.44,overcast clouds
345,Flinders,AU,-34.5833,150.8552,62.19,90,100,5.01,light rain
346,Baruun-Urt,MN,46.6806,113.2792,41.23,46,100,19.22,moderate rain
