City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
402,Pimentel,PE,73.69,clear sky,-6.8367,-79.9342,Hotel Puerto del Sol
404,Camopi,GF,80.22,overcast clouds,3.1655,-52.3158,La pousada
405,Port Blair,IN,82.53,clear sky,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
407,Mumford,GH,81.9,light rain,5.2618,-0.759,Spanish Villa
409,Vila Velha,BR,82.35,few clouds,-20.3297,-40.2925,Hotel Vitória Palace
410,Tautira,PF,80.35,light rain,-17.7333,-149.15,Pension Oaoa
414,High Rock,BS,80.62,clear sky,26.6208,-78.2833,Hideaway Bahamas Beach Club
415,Nakhon Sawan,TH,86.56,clear sky,15.7,100.0833,The Paradiso JK Design Hotel Nakhon Sawan.
420,Oistins,BB,86.09,broken clouds,13.0667,-59.5333,Butterfly Beach Hotel
421,Jodhpur,IN,87.44,clear sky,26.2867,73.03,"Umaid Bhawan Palace, Jodhpur"
422,Sao Miguel Do Araguaia,BR,82.56,overcast clouds,-13.275,-50.1628,Hotel Executivo Palace
424,Katherine,AU,75.52,overcast clouds,-14.4667,132.2667,Pine Tree Motel
425,Daru,PG,76.06,broken clouds,-9.0763,143.2092,Daru Lodge
426,Roebourne,AU,77.77,light rain,-20.7833,117.1333,Latitude20 Roebourne Village
427,Miguelopolis,BR,88.0,scattered clouds,-20.1794,-48.0319,Las Vegas Motel
428,Tual,ID,83.7,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
429,Atambua,ID,70.75,scattered clouds,-9.1061,124.8925,Kost Alfa Flat
430,Do Gonbadan,IR,77.85,overcast clouds,30.3586,50.7981,شبکه بهداشت و درمان گچساران
431,Dhidhdhoo,MV,84.07,overcast clouds,6.8833,73.1,Dhidhoo beach
436,Harlingen,US,89.51,clear sky,26.1906,-97.6961,Courtyard by Marriott Harlingen
442,Luanda,AO,77.61,broken clouds,-8.8368,13.2343,EPIC SANA Luanda
444,Namibe,AO,70.05,clear sky,-15.1961,12.1522,Hotel Chik Chik Namibe
446,Jiwani,PK,81.3,clear sky,25.05,61.7417,Al Mumtaz Transport Jiwani
447,Altus,US,70.36,overcast clouds,34.6381,-99.334,"Holiday Inn Express & Suites Altus, an IHG Hotel"
449,Pitimbu,BR,82.99,overcast clouds,-7.4706,-34.8086,Reserva do Abiaí
450,Ponnani,IN,78.12,overcast clouds,10.767,75.9252,Rouba Residency
452,Garden City,US,84.45,broken clouds,42.3256,-83.331,Big Trees Mobile Home Community
453,Kigoma,TZ,74.66,light rain,-4.8769,29.6267,MJI Mwema Lodge
455,Sumbe,AO,76.66,scattered clouds,-11.2061,13.8437,Hotel Ritz Sumbe
460,Talara,PE,81.36,clear sky,-4.5772,-81.2719,Hostal Oro Negro
461,Rocha,UY,77.5,clear sky,-34.4833,-54.3333,Hotel Arrarte
462,Benjamin Constant,BR,86.13,scattered clouds,-4.3831,-70.0311,CASA AVALIADA
463,Necochea,AR,74.03,scattered clouds,-38.5473,-58.7368,dyd -mar Hotel
464,Imbituba,BR,76.86,clear sky,-28.24,-48.6703,Praia Hotel Imbituba
465,Tabuk,PH,74.62,clear sky,17.4189,121.4443,Golden Berries Hotel and Convention
